Symbol,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, ISIN NUMBER, FACE VALUE
20MICRONS,20 Microns Limited,EQ,06-Oct-08,5,INE144J01027,5
21STCENMGM,21st Century Management Services Limited,EQ,03-May-95,10,INE253B01015,10
360ONE,360 ONE WAM LIMITED,EQ,19-Sep-19,1,INE466L01038,1
3IINFOLTD,3i Infotech Limited,EQ,22-Oct-21,10,INE748C01038,10
3MINDIA,3M India Limited,EQ,13-Aug-04,10,INE470A01017,10
3PLAND,3P Land Holdings Limited,EQ,19-Jul-95,2,INE105C01023,2
5PAISA,5Paisa Capital Limited,EQ,16-Nov-17,10,INE618L01018,10
63MOONS,63 moons technologies limited,EQ,20-Jun-05,2,INE111B01023,2
A2ZINFRA,A2Z Infra Engineering Limited,EQ,23-Dec-10,10,INE619I01012,10
AAATECH,AAA Technologies Limited,EQ,28-Nov-22,10,INE0D0U01013,10
AADHARHFC,Aadhar Housing Finance Limited,EQ,15-May-24,10,INE883F01010,10
AAKASH,Aakash Exploration Services Limited,EQ,29-Sep-20,1,INE087Z01024,1
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,EQ,06-Aug-21,10,INE198H01019,10
AARON,Aaron Industries Limited,EQ,06-Nov-20,10,INE721Z01010,10
AARTECH,Aartech Solonics Limited,EQ,10-Jul-23,5,INE01C001026,5
AARTIDRUGS,Aarti Drugs Limited,EQ,19-Sep-03,10,INE767A01016,10
AARTIIND,Aarti Industries Limited,EQ,08-Feb-95,5,INE769A01020,5
AARTIPHARM,Aarti Pharmalabs Limited,EQ,30-Jan-23,5,INE0LRU01027,5
AARTISURF,Aarti Surfactants Limited,EQ,14-Jul-20,10,INE09EO01013,10
AARVEEDEN,Aarvee Denims & Exports Limited,BE,21-Nov-06,10,INE273D01019,10
AARVI,Aarvi Encon Limited,EQ,24-Jun-20,10,INE754X01016,10
AAVAS,Aavas Financiers Limited,EQ,08-Oct-18,10,INE216P01012,10
ABAN,Aban Offshore Limited,BE,29-Mar-95,2,INE421A01028,2
ABB,ABB India Limited,EQ,08-Feb-95,2,INE117A01022,2
ABBOTINDIA,Abbott India Limited,EQ,08-Jan-10,10,INE358A01014,10
ABCAPITAL,Aditya Birla Capital Limited,EQ,01-Sep-17,10,INE674K01013,10
ABDL,Allied Blenders and Distillers Limited,EQ,02-Jul-24,2,INE552Z01027,2
ABFRL,Aditya Birla Fashion and Retail Limited,EQ,17-Jul-13,10,INE647O01011,10
ABINFRA,A B Infrabuild Limited,EQ,08-Nov-24,10,INE00YB01017,10
ABMINTLLTD,ABM International Limited,EQ,09-Sep-21,10,INE251C01025,10
ABREL,Aditya Birla Real Estate Limited,EQ,27-Jun-03,10,INE055A01016,10
ABSLAMC,Aditya Birla Sun Life AMC Limited,EQ,11-Oct-21,5,INE404A01024,5
ACC,ACC Limited,EQ,20-Nov-96,10,INE012A01025,10
ACCELYA,Accelya Solutions India Limited,EQ,01-Dec-99,10,INE793A01012,10
ACCURACY,Accuracy Shipping Limited,EQ,11-Dec-20,1,INE648Z01023,1
ACE,Action Construction Equipment Limited,EQ,26-Sep-06,2,INE731H01025,2
ACEINTEG,Ace Integrated Solutions Limited,EQ,04-Nov-22,10,INE543V01017,10
ACI,Archean Chemical Industries Limited,EQ,21-Nov-22,2,INE128X01021,2
ACL,Andhra Cements Limited,EQ,10-May-23,10,INE666E01020,10
ACLGATI,Allcargo Gati Limited,EQ,10-Oct-06,2,INE152B01027,2
