symbol,date,close,rsi,macd,sma20
360ONE,2025-05-16,1000.55,57.5,5.11,968.58
3MINDIA,2025-05-16,29680.0,54.9,-102.46,29729.75
ABB,2025-05-16,5820.0,65.26,30.27,5546.06
ACC,2025-05-16,1928.4,53.26,0.12,1921.98
ACMESOLAR,2025-05-16,234.12,65.46,1.76,217.94
AIAENG,2025-05-16,3309.7,61.87,22.81,3179.98
APLAPOLLO,2025-05-16,1785.4,77.89,12.05,1653.47
AUBANK,2025-05-16,684.85,62.87,-3.47,674.08
AWL,2025-05-16,270.35,53.29,-0.48,270.37
AADHARHFC,2025-05-16,457.4,51.66,-3.34,463.57
AARTIIND,2025-05-16,474.65,66.15,2.57,442.64
AAVAS,2025-05-16,1789.6,41.35,-14.16,1919.5
ABBOTINDIA,2025-05-16,30560.0,54.71,16.48,30314.75
ACE,2025-05-16,1259.0,58.94,5.84,1209.56
ADANIENSOL,2025-05-16,915.05,56.06,-3.48,907.16
ADANIENT,2025-05-16,2555.0,63.65,17.29,2397.99
ADANIGREEN,2025-05-16,1020.1,63.88,7.64,938.53
ADANIPORTS,2025-05-16,1407.4,72.69,10.16,1293.61
ADANIPOWER,2025-05-16,565.5,59.33,0.18,547.34
ATGL,2025-05-16,681.6,65.03,5.52,627.19
ABCAPITAL,2025-05-16,218.24,66.71,1.25,202.3
ABFRL,2025-05-16,278.1,60.64,1.23,267.28
ABREL,2025-05-16,2145.3,68.25,24.97,1937.4
ABSLAMC,2025-05-16,707.95,65.8,4.52,659.44
AEGISLOG,2025-05-16,867.55,69.16,6.4,797.07
AFCONS,2025-05-16,465.9,62.51,5.55,433.59
AFFLE,2025-05-16,1720.0,67.91,12.61,1594.45
AJANTPHARM,2025-05-16,2603.6,50.48,-3.13,2627.77
AKUMS,2025-05-16,546.4,63.36,3.0,517.85
APLLTD,2025-05-16,912.95,60.36,2.23,884.88
ALIVUS,2025-05-16,1142.6,58.37,8.78,1088.32
ALKEM,2025-05-16,5221.0,61.9,12.95,5073.95
ALKYLAMINE,2025-05-16,1770.2,55.0,-0.92,1760.68
ALOKINDS,2025-05-16,18.46,63.4,0.13,17.2
ARE&M,2025-05-16,1035.75,61.19,7.47,991.86
AMBER,2025-05-16,6403.5,52.41,30.88,6288.35
AMBUJACEM,2025-05-16,563.5,61.46,0.19,548.28
ANANDRATHI,2025-05-16,1816.3,60.04,14.51,1736.23
ANANTRAJ,2025-05-16,514.1,61.99,6.33,465.73
ANGELONE,2025-05-16,2800.6,73.0,33.31,2430.86
APARINDS,2025-05-16,8228.0,86.37,282.25,5953.15
APOLLOHOSP,2025-05-16,7015.0,56.63,-16.12,6994.42
APOLLOTYRE,2025-05-16,494.25,64.14,-0.52,472.54
APTUS,2025-05-16,326.8,58.5,-0.32,322.89
ASAHIINDIA,2025-05-16,750.8,61.36,0.26,726.02
ASHOKLEY,2025-05-16,237.33,63.87,1.1,226.87
ASIANPAINT,2025-05-16,2353.6,48.82,-13.11,2393.55
ASTERDM,2025-05-16,589.85,82.63,4.98,528.08
ASTRAZEN,2025-05-16,7837.5,37.85,-94.74,8444.8
ASTRAL,2025-05-16,1359.7,56.02,2.27,1337.05
ATUL,2025-05-16,6787.0,64.28,-17.95,6592.95
AUROPHARMA,2025-05-16,1201.2,51.8,-2.32,1210.86
AIIL,2025-05-16,2150.2,71.72,35.86,1853.76
DMART,2025-05-16,4189.7,57.17,-16.67,4190.35
AXISBANK,2025-05-16,1208.8,62.74,-1.37,1189.43
BASF,2025-05-16,4572.6,56.86,15.45,4475.69
BEML,2025-05-16,3654.1,73.28,35.44,3187.08
BLS,2025-05-16,393.75,60.49,4.34,369.98
BSE,2025-05-16,7279.0,68.9,36.97,6607.9
BAJAJ-AUTO,2025-05-16,8482.5,64.81,50.33,8053.2
BAJFINANCE,2025-05-16,9167.0,56.62,13.34,9031.8
BAJAJFINSV,2025-05-16,2033.6,54.14,-4.28,2036.74
BAJAJHLDNG,2025-05-16,13111.0,65.76,95.48,12115.45
BAJAJHFL,2025-05-16,123.9,54.2,-0.15,124.02
BALKRISIND,2025-05-16,2709.7,58.02,3.13,2651.83
BALRAMCHIN,2025-05-16,558.7,53.46,-2.31,561.76
BANDHANBNK,2025-05-16,170.09,62.44,0.1,164.43
BANKBARODA,2025-05-16,236.92,52.96,-1.37,239.88
BANKINDIA,2025-05-16,114.33,55.29,-0.4,114.57
MAHABANK,2025-05-16,51.06,62.61,0.09,49.42
BATAINDIA,2025-05-16,1248.5,58.69,4.8,1214.8
BAYERCROP,2025-05-16,5040.7,63.92,30.63,4812.02
BERGEPAINT,2025-05-16,576.1,66.84,0.64,554.73
BDL,2025-05-16,1842.0,77.96,28.89,1539.68
BEL,2025-05-16,363.9,80.92,4.51,316.55
BHARATFORG,2025-05-16,1263.0,68.25,16.19,1142.05
BHEL,2025-05-16,250.35,68.74,1.85,229.59
BPCL,2025-05-16,320.1,64.62,-0.58,308.98
BHARTIARTL,2025-05-16,1814.0,48.74,-9.81,1856.06
BHARTIHEXA,2025-05-16,1668.7,57.4,-9.19,1668.46
BIKAJI,2025-05-16,717.65,56.64,-0.55,710.0
BIOCON,2025-05-16,339.4,55.13,1.38,330.68
BSOFT,2025-05-16,429.7,65.43,5.74,398.07
BLUEDART,2025-05-16,6947.5,70.64,35.37,6580.98
BLUESTARCO,2025-05-16,1563.2,25.1,-8.09,1731.56
BBTC,2025-05-16,1909.2,57.05,-0.96,1868.15
BOSCHLTD,2025-05-16,31655.0,73.63,198.44,29613.25
FIRSTCRY,2025-05-16,358.8,56.25,3.83,341.61
BRIGADE,2025-05-16,1108.6,65.03,8.03,1031.69
BRITANNIA,2025-05-16,5501.5,60.39,-12.05,5441.07
MAPMYINDIA,2025-05-16,2100.2,73.82,25.33,1876.94
CCL,2025-05-16,761.2,70.27,8.07,667.61
CESC,2025-05-16,165.19,57.63,-0.13,161.21
CGPOWER,2025-05-16,696.45,68.03,6.98,639.14
CRISIL,2025-05-16,5015.5,62.96,36.6,4756.57
CAMPUS,2025-05-16,258.35,63.69,2.01,246.37
CANFINHOME,2025-05-16,754.2,65.46,0.86,724.29
CANBK,2025-05-16,107.76,70.58,0.83,99.17
CAPLIPOINT,2025-05-16,2010.0,58.27,17.74,1912.05
CGCL,2025-05-16,167.44,52.9,0.48,165.54
CARBORUNIV,2025-05-16,983.5,47.87,-4.78,1009.03
CASTROLIND,2025-05-16,211.3,57.89,1.3,204.17
CEATLTD,2025-05-16,3831.5,78.42,38.03,3411.56
CENTRALBK,2025-05-16,36.49,46.14,0.3,36.61
CDSL,2025-05-16,1408.8,67.39,5.02,1311.54
CENTURYPLY,2025-05-16,736.15,57.4,3.76,716.48
CERA,2025-05-16,6537.5,72.71,124.21,5780.32
CHALET,2025-05-16,902.9,65.9,10.22,833.92
CHAMBLFERT,2025-05-16,632.1,39.37,-11.21,682.29
CHENNPETRO,2025-05-16,646.75,63.06,0.64,622.31
CHOLAHLDNG,2025-05-16,1867.9,53.82,-9.45,1876.42
CHOLAFIN,2025-05-16,1619.3,60.81,6.24,1557.56
CIPLA,2025-05-16,1499.9,49.49,-4.42,1519.27
CUB,2025-05-16,193.58,67.27,0.91,182.09
CLEAN,2025-05-16,1294.2,68.85,13.3,1208.59
COALINDIA,2025-05-16,404.8,61.95,1.7,393.16
COCHINSHIP,2025-05-16,2035.6,79.72,43.06,1557.01
COFORGE,2025-05-16,8426.0,70.21,131.89,7585.29
COLPAL,2025-05-16,2689.7,61.68,-0.55,2623.55
CAMS,2025-05-16,3890.9,57.34,-10.84,3816.85
CONCORDBIO,2025-05-16,1498.9,42.35,5.39,1547.74
CONCOR,2025-05-16,730.5,62.87,3.39,689.1
COROMANDEL,2025-05-16,2450.9,70.16,9.7,2285.51
CRAFTSMAN,2025-05-16,5249.6,64.06,60.9,4872.98
CREDITACC,2025-05-16,1204.7,63.37,2.1,1147.21
CROMPTON,2025-05-16,351.25,58.72,1.4,334.84
CUMMINSIND,2025-05-16,3035.6,60.4,15.0,2887.28
CYIENT,2025-05-16,1304.3,62.74,16.3,1217.47
