symbol,date,close,rsi,macd,sma20,avg_sentiment,news_count
360ONE,2025-05-16,1000.55,57.5,5.11,968.58,0.2605,10
3MINDIA,2025-05-16,29680.0,54.9,-102.46,29729.75,0.247,10
ABB,2025-05-16,5820.0,65.26,30.27,5546.06,0.2427,10
ACC,2025-05-16,1928.4,53.26,0.12,1921.98,0.1179,10
ACMESOLAR,2025-05-16,234.12,65.46,1.76,217.94,0.2209,10
AIAENG,2025-05-16,3309.7,61.87,22.81,3179.98,0.2717,7
APLAPOLLO,2025-05-16,1785.4,77.89,12.05,1653.47,0.3512,10
AUBANK,2025-05-16,684.85,62.87,-3.47,674.08,0.102,10
AWL,2025-05-16,270.35,53.29,-0.48,270.37,0.0957,10
AADHARHFC,2025-05-16,457.4,51.66,-3.34,463.57,0.1755,10
AARTIIND,2025-05-16,474.65,66.15,2.57,442.64,0.1291,10
AAVAS,2025-05-16,1789.6,41.35,-14.16,1919.5,0.2339,10
ABBOTINDIA,2025-05-16,30560.0,54.71,16.48,30314.75,0.2431,10
ACE,2025-05-16,1259.0,58.94,5.84,1209.56,0.0557,10
ADANIENSOL,2025-05-16,915.05,56.06,-3.48,907.16,0.4736,10
ADANIENT,2025-05-16,2555.0,63.65,17.29,2397.99,0.2275,10
ADANIGREEN,2025-05-16,1020.1,63.88,7.64,938.53,0.2356,10
ADANIPORTS,2025-05-16,1407.4,72.69,10.16,1293.61,0.2912,10
ADANIPOWER,2025-05-16,565.5,59.33,0.18,547.34,0.349,10
ATGL,2025-05-16,681.6,65.03,5.52,627.19,0.3844,10
ABCAPITAL,2025-05-16,218.24,66.71,1.25,202.3,0.1477,10
ABFRL,2025-05-16,278.1,60.64,1.23,267.28,0.1676,10
ABREL,2025-05-16,2145.3,68.25,24.97,1937.4,0.2479,10
ABSLAMC,2025-05-16,707.95,65.8,4.52,659.44,0.3775,10
AEGISLOG,2025-05-16,867.55,69.16,6.4,797.07,0.245,10
AFCONS,2025-05-16,465.9,62.51,5.55,433.59,0.125,10
AFFLE,2025-05-16,1720.0,67.91,12.61,1594.45,0.2918,10
AJANTPHARM,2025-05-16,2603.6,50.48,-3.13,2627.77,0.2712,10
AKUMS,2025-05-16,546.4,63.36,3.0,517.85,0.2691,10
APLLTD,2025-05-16,912.95,60.36,2.23,884.88,0.104,10
ALIVUS,2025-05-16,1142.6,58.37,8.78,1088.32,0.3628,10
ALKEM,2025-05-16,5221.0,61.9,12.95,5073.95,0.0306,10
ALKYLAMINE,2025-05-16,1770.2,55.0,-0.92,1760.68,0.1404,10
ALOKINDS,2025-05-16,18.46,63.4,0.13,17.2,0.2338,10
ARE&M,2025-05-16,1035.75,61.19,7.47,991.86,0.0638,10
AMBER,2025-05-16,6403.5,52.41,30.88,6288.35,0.1393,10
AMBUJACEM,2025-05-16,563.5,61.46,0.19,548.28,0.1389,10
ANANDRATHI,2025-05-16,1816.3,60.04,14.51,1736.23,0.2471,10
ANANTRAJ,2025-05-16,514.1,61.99,6.33,465.73,0.3788,10
ANGELONE,2025-05-16,2800.6,73.0,33.31,2430.86,0.2842,10
APARINDS,2025-05-16,8228.0,86.37,282.25,5953.15,0.0691,10
APOLLOHOSP,2025-05-16,7015.0,56.63,-16.12,6994.42,0.2465,10
APOLLOTYRE,2025-05-16,494.25,64.14,-0.52,472.54,0.1385,10
APTUS,2025-05-16,326.8,58.5,-0.32,322.89,0.393,10
ASAHIINDIA,2025-05-16,750.8,61.36,0.26,726.02,0.1278,10
ASHOKLEY,2025-05-16,237.33,63.87,1.1,226.87,0.2753,10
ASIANPAINT,2025-05-16,2353.6,48.82,-13.11,2393.55,0.0559,10
ASTERDM,2025-05-16,589.85,82.63,4.98,528.08,0.2507,10
ASTRAZEN,2025-05-16,7837.5,37.85,-94.74,8444.8,0.0568,10
ASTRAL,2025-05-16,1359.7,56.02,2.27,1337.05,0.268,10
ATUL,2025-05-16,6787.0,64.28,-17.95,6592.95,0.3606,10
AUROPHARMA,2025-05-16,1201.2,51.8,-2.32,1210.86,0.1728,10
AIIL,2025-05-16,2150.2,71.72,35.86,1853.76,0.0977,10
DMART,2025-05-16,4189.7,57.17,-16.67,4190.35,0.1378,10
AXISBANK,2025-05-16,1208.8,62.74,-1.37,1189.43,0.1864,10
BASF,2025-05-16,4572.6,56.86,15.45,4475.69,0.0901,10
BEML,2025-05-16,3654.1,73.28,35.44,3187.08,0.1385,10
BLS,2025-05-16,393.75,60.49,4.34,369.98,0.3113,10
BSE,2025-05-16,7279.0,68.9,36.97,6607.9,0.1592,10
BAJAJ-AUTO,2025-05-16,8482.5,64.81,50.33,8053.2,0.1862,10
BAJFINANCE,2025-05-16,9167.0,56.62,13.34,9031.8,0.4341,10
BAJAJFINSV,2025-05-16,2033.6,54.14,-4.28,2036.74,0.0526,10
BAJAJHLDNG,2025-05-16,13111.0,65.76,95.48,12115.45,0.1121,9
BAJAJHFL,2025-05-16,123.9,54.2,-0.15,124.02,0.2794,10
BALKRISIND,2025-05-16,2709.7,58.02,3.13,2651.83,0.0122,10
BALRAMCHIN,2025-05-16,558.7,53.46,-2.31,561.76,-0.0412,10
BANDHANBNK,2025-05-16,170.09,62.44,0.1,164.43,0.1304,10
BANKBARODA,2025-05-16,236.92,52.96,-1.37,239.88,0.1308,10
BANKINDIA,2025-05-16,114.33,55.29,-0.4,114.57,0.2977,10
MAHABANK,2025-05-16,51.06,62.61,0.09,49.42,0.2201,10
BATAINDIA,2025-05-16,1248.5,58.69,4.8,1214.8,0.0998,10
BAYERCROP,2025-05-16,5040.7,63.92,30.63,4812.02,0.2032,10
BERGEPAINT,2025-05-16,576.1,66.84,0.64,554.73,0.1818,10
BDL,2025-05-16,1842.0,77.96,28.89,1539.68,0.3481,10
BEL,2025-05-16,363.9,80.92,4.51,316.55,0.2302,10
BHARATFORG,2025-05-16,1263.0,68.25,16.19,1142.05,0.0507,10
BHEL,2025-05-16,250.35,68.74,1.85,229.59,0.2826,10
BPCL,2025-05-16,320.1,64.62,-0.58,308.98,0.2493,10
BHARTIARTL,2025-05-16,1814.0,48.74,-9.81,1856.06,0.0713,10
BHARTIHEXA,2025-05-16,1668.7,57.4,-9.19,1668.46,0.2051,10
BIKAJI,2025-05-16,717.65,56.64,-0.55,710.0,0.3065,10
BIOCON,2025-05-16,339.4,55.13,1.38,330.68,0.2501,10
BSOFT,2025-05-16,429.7,65.43,5.74,398.07,0.0254,10
BLUEDART,2025-05-16,6947.5,70.64,35.37,6580.98,0.2541,10
BLUESTARCO,2025-05-16,1563.2,25.1,-8.09,1731.56,0.1927,10
BBTC,2025-05-16,1909.2,57.05,-0.96,1868.15,0.2369,10
BOSCHLTD,2025-05-16,31655.0,73.63,198.44,29613.25,0.2372,10
FIRSTCRY,2025-05-16,358.8,56.25,3.83,341.61,0.0394,10
BRIGADE,2025-05-16,1108.6,65.03,8.03,1031.69,0.1667,10
BRITANNIA,2025-05-16,5501.5,60.39,-12.05,5441.07,0.2622,10
MAPMYINDIA,2025-05-16,2100.2,73.82,25.33,1876.94,0.3758,10
CCL,2025-05-16,761.2,70.27,8.07,667.61,0.4244,10
CESC,2025-05-16,165.19,57.63,-0.13,161.21,0.2703,10
CGPOWER,2025-05-16,696.45,68.03,6.98,639.14,0.1608,10
CRISIL,2025-05-16,5015.5,62.96,36.6,4756.57,0.246,10
CAMPUS,2025-05-16,258.35,63.69,2.01,246.37,0.5192,10
CANFINHOME,2025-05-16,754.2,65.46,0.86,724.29,0.2452,10
CANBK,2025-05-16,107.76,70.58,0.83,99.17,0.1904,10
CAPLIPOINT,2025-05-16,2010.0,58.27,17.74,1912.05,0.2062,10
CGCL,2025-05-16,167.44,52.9,0.48,165.54,0.1404,10
CARBORUNIV,2025-05-16,983.5,47.87,-4.78,1009.03,0.1528,9
CASTROLIND,2025-05-16,211.3,57.89,1.3,204.17,0.3752,10
