symbol,avg_sentiment,news_count
DIGJAMLMTD,0.0,0
ACC,0.1179,10
ACLGATI,-0.0102,10
ACCURACY,0.107,10
AARTIPHARM,0.1011,9
ADL,0.0089,10
AARTIDRUGS,0.2522,10
ADANIENT,0.2275,10
CONFIPET,0.4134,8
DALBHARAT,0.1575,10
3IINFOLTD,0.2242,4
3PLAND,0.195,9
BHARTIARTL,0.0713,10
BFINVEST,0.4338,4
21STCENMGM,0.296,1
AARVEEDEN,0.296,1
AARON,0.2143,10
AFSL,0.0824,10
AFFLE,0.2918,10
DATAMATICS,0.237,10
CEATLTD,0.1934,10
AKI,0.0917,10
AETHER,0.1324,10
EIDPARRY,0.3672,10
ELECTCAST,0.0726,10
EKC,0.0523,10
AMBIKCO,0.0,0
AARTECH,0.2809,10
ANDHRAPAP,-0.0191,4
ANIKINDS,0.0,0
ELGIEQUIP,0.1589,10
ANSALAPI,-0.1293,10
ABAN,-0.0175,10
EMAMIREAL,0.0,0
ELIN,0.1391,10
EMBDL,0.3259,10
APOLLOHOSP,0.2814,10
ARIHANTSUP,0.296,1
EMMBI,0.0839,10
EMIL,0.1294,10
APOLLO,0.3497,10
EMSLIMITED,0.1592,10
ARVINDFASN,0.2071,5
EMUDHRA,0.2495,10
ARVSMART,0.2618,6
ASAL,-0.0949,10
ENTERO,0.2739,10
ABB,0.2427,10
ASHOKA,0.179,10
ADVANIHOTR,0.1756,6
ATALREAL,0.4113,2
ASIANPAINT,0.1862,10
AUSOMENT,0.4723,2
AVADHSUGAR,0.0459,10
AUROPHARMA,0.1728,10
ATUL,0.3606,10
ATLANTAA,-0.0604,10
AWHCL,-0.0037,10
AVANTEL,0.2831,10
AADHARHFC,0.1755,10
ETHOSLTD,-0.0567,10
AXITA,0.2467,10
BAJAJINDEF,0.3949,5
EVERESTIND,0.2013,3
AZAD,0.3271,10
EXCELINDUS,0.6025,2
EXPLEOSOL,0.2672,4
EXCEL,0.4853,10
BANCOINDIA,0.4272,10
EXIDEIND,0.0686,10
FAIRCHEMOR,0.2633,2
BALUFORGE,0.0976,10
FCSSOFT,0.2836,5
BANKINDIA,0.3329,10
FACT,0.3541,10
BECTORFOOD,0.1124,10
FEDFINA,0.2803,10
FEL,-0.0347,10
BESTAGRO,0.5111,10
AGARIND,0.3019,2
FIBERWEB,0.3513,10
FIEMIND,0.0,2
FILATFASH,0.0824,10
BIOFILCHEM,0.1735,4
BIRLACABLE,0.2,10
BLAL,0.1135,10
BLBLIMITED,0.1802,7
FINPIPE,0.148,10
BIRLAMONEY,0.207,10
BHEL,0.2682,10
FLEXITUFF,0.0598,9
BLUESTARCO,0.1638,10
FLAIR,0.27,10
BVCL,0.0,0
AHLADA,0.1516,8
AHLUCONT,0.2419,9
CANFINHOME,0.1599,10
BSE,0.1518,10
CCHHL,0.1909,2
FOCUS,0.2084,10
FSC,-0.0342,10
FSL,0.1716,10
CENTENKA,0.107,4
CCL,0.4244,10
FUSION,0.09,10
CERA,0.1973,10
GAIL,0.3544,10
CESC,0.2703,10
CHOICEIN,0.1903,10
CINELINE,0.0064,10
CGPOWER,0.1608,10
CHALET,0.1677,10
CMSINFO,0.1682,10
GANGESSECU,0.1591,2
GARFIBRES,0.5366,10
CIPLA,0.1788,10
COUNCODOS,-0.2202,2
CONCORDBIO,0.0922,10
CUMMINSIND,0.135,10
GAYAHWS,0.4588,1
GARUDA,0.3227,10
GATEWAY,0.3083,10
GEECEE,0.4428,10
CRISIL,0.3187,10
DBEIL,0.2463,10
GENUSPAPER,0.0627,7
DAMCAPITAL,0.0628,10
DBSTOCKBRO,0.0348,2
GEPIL,0.1419,10
DEEDEV,0.25,10
DBL,0.0998,10
DEEPAKFERT,0.1265,10
DCM,0.3894,10
DELTAMAGNT,0.0,1
GICHSGFIN,0.1012,2
GILLANDERS,0.2773,10
DIACABS,0.3781,10
GICRE,0.2709,10
AGI,0.1141,10
DIGISPICE,0.0478,10
GINNIFILA,0.0,0
DIVGIITTS,0.4693,5
GILLETTE,0.3489,10
AKZOINDIA,0.1537,10
GLFL,0.0,1
GLAXO,0.0653,10
GLOBALVECT,0.2184,3
DODLA,0.127,10
GLOBAL,0.1868,10
GLOBUSSPR,0.0603,6
GMBREW,0.2221,10
GLOBALE,-0.0389,10
DYNAMATECH,0.3857,9
DWARKESH,0.0066,10
EICHERMOT,0.1836,10
GMRP&UI,0.0629,10
ALICON,0.1191,10
GNA,0.3142,10
ELDEHSG,0.0,0
AMBICAAGAR,0.5737,2
GOCLCORP,0.1868,9
GOCOLORS,0.0346,10
ALKEM,0.0786,10
AMIORG,0.3132,10
ANTGRAPHIC,-0.1649,7
GODHA,0.2169,10
AMBER,0.1393,10
APOLSINHOT,0.0,0
GODIGIT,0.3022,10
EMAMILTD,0.1923,10
ACEINTEG,0.347,2
GOKUL,0.289,10
APEX,0.1935,10
AAVAS,0.2339,10
ARROWGREEN,0.1425,9
63MOONS,0.311,10
ADANIENSOL,0.4736,10
ARCHIES,0.2724,10
ENGINERSIN,0.2255,10
ARE&M,-0.0253,10
ASALCBR,0.2494,5
GPTINFRA,0.2174,10
ASIANENE,0.3517,6
ARVIND,0.2666,10
ASPINWALL,0.0673,10
EQUIPPP,0.1342,10
GRANULES,0.2651,10
GRASIM,0.3038,10
ASHIANA,0.2293,10
AUBANK,0.1293,10
GREENPLY,0.1094,10
AUTOIND,0.2731,6
AVANTIFEED,0.307,10
AVONMORE,0.3667,10
AVG,0.1317,10
ASTERDM,0.2383,10
AAREYDRUGS,0.0683,2
BAIDFIN,-0.1116,3
GRSE,0.3334,10
GSLSU,0.3204,4
EXICOM,-0.0199,10
GSFC,0.27,10
BALAJEE,0.0621,10
BANKA,0.1622,10
BANG,0.249,10
BBTCL,0.1433,9
GTPL,0.214,10
GUJAPOLLO,-0.4767,1
GUJALKALI,-0.0886,4
BFUTILITIE,0.2524,7
BHAGYANGR,0.3939,10
BINANIIND,-0.0298,5
BHARATFORG,0.0507,10
BERGEPAINT,0.1818,10
BLKASHYAP,0.5435,10
FINOPB,0.1123,9
GULFOILLUB,0.3211,10
BLSE,0.231,10
GVPTECH,-0.4588,1
BHARATGEAR,0.1952,5
BORORENEW,0.0343,10
GVKPIL,-0.2047,10
GVT&D,-0.0051,10
HAPPYFORGE,0.5441,5
BTML,0.2656,8
CALSOFT,0.0423,7
AGROPHOS,0.0596,8
AIAENG,0.2748,8
CAPLIPOINT,0.2062,10
HATHWAY,0.1664,10
CARERATING,0.5437,10
CARYSIL,0.2509,10
HAVELLS,0.2186,10
AHLEAST,0.0,0
CENTRUM,0.2883,10
CGCL,0.1404,10
CDSL,0.3764,10
CHEMBOND,0.0435,10
HECPROJECT,0.2633,2
CHEMPLASTS,0.1095,9
HDFCAMC,0.2949,10
AFFORDABLE,0.1146,10
CLSEL,0.1364,9
COFFEEDAY,0.1611,10
HEG,0.319,10
CONTROLPR,0.197,2
COCHINSHIP,0.314,10
HESTERBIO,0.1101,4
CORDSCABLE,0.3566,8
CSLFINANCE,0.1525,8
HEXATRADEX,-0.064,9
CONCOR,0.0427,10
CURAA,0.0914,10
GEEKAYWIRE,0.0331,5
CUPID,0.3167,10
HFCL,0.3753,10
HIKAL,0.1871,10
HIMATSEIDE,0.2982,10
CYIENTDLM,0.2797,10
GENESYS,0.227,10
DAVANGERE,-0.0088,10
GENUSPOWER,0.1091,10
HINDOILEXP,0.2061,5
DBCORP,0.1745,10
DEEPAKNTR,0.2883,10
DENORA,0.3148,10
DIAMINESQ,-0.3818,1
HINDWAREAP,0.6151,5
GHCL,0.1727,10
DELTACORP,0.1619,10
DJML,0.5251,3
HITECHCORP,0.0,0
